epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,3530.25,0.79896,0.53648,1.63785,0.9669,0.95604,0.97384,0.82324,1.55403,0.74814,1.97154,7.43125e-05,7.43125e-05,7.43125e-05
180,3549.17,0.78217,0.54021,1.64519,0.95641,0.96067,0.97223,0.82022,1.54562,0.7608,1.9635,7.12187e-05,7.12187e-05,7.12187e-05
181,3568.22,0.78774,0.54144,1.6225,0.96923,0.96176,0.97605,0.82334,1.55636,0.75793,1.96223,6.8125e-05,6.8125e-05,6.8125e-05
182,3587.08,0.77105,0.53082,1.63465,0.95762,0.96554,0.97589,0.82216,1.55717,0.74476,1.96504,6.50312e-05,6.50312e-05,6.50312e-05
183,3605.99,0.82885,0.54234,1.64476,0.97024,0.95635,0.9767,0.82669,1.55127,0.7474,1.96545,6.19375e-05,6.19375e-05,6.19375e-05
184,3625.04,0.80805,0.55285,1.6516,0.96793,0.95791,0.97742,0.82085,1.56228,0.72312,1.97331,5.88437e-05,5.88437e-05,5.88437e-05
185,3643.99,0.80059,0.5342,1.63912,0.97031,0.95813,0.97718,0.82128,1.55714,0.71087,1.9653,5.575e-05,5.575e-05,5.575e-05
186,3662.98,0.79115,0.54799,1.6311,0.96897,0.95104,0.97666,0.82387,1.54968,0.72856,1.96286,5.26562e-05,5.26562e-05,5.26562e-05
187,3681.95,0.77345,0.51249,1.62707,0.96412,0.95336,0.97687,0.82498,1.54658,0.73764,1.95914,4.95625e-05,4.95625e-05,4.95625e-05
188,3700.85,0.7756,0.5365,1.62965,0.96883,0.94689,0.9779,0.82223,1.55317,0.77806,1.96522,4.64687e-05,4.64687e-05,4.64687e-05
189,3719.78,0.76683,0.51506,1.63251,0.97111,0.94878,0.9778,0.8242,1.55123,0.75657,1.96878,4.3375e-05,4.3375e-05,4.3375e-05
190,3738.93,0.77867,0.54045,1.6417,0.9545,0.96449,0.97581,0.82258,1.55061,0.74489,1.96644,4.02813e-05,4.02813e-05,4.02813e-05
191,3812.97,0.6632,0.35365,1.59813,0.96536,0.94864,0.97493,0.81835,1.55886,0.77176,1.97677,3.71875e-05,3.71875e-05,3.71875e-05
192,3829.41,0.65214,0.3447,1.59508,0.96167,0.95677,0.9741,0.81979,1.55177,0.77078,1.97071,3.40938e-05,3.40938e-05,3.40938e-05
193,3846.25,0.653,0.35171,1.60115,0.96389,0.95661,0.97391,0.81953,1.55839,0.76031,1.9724,3.1e-05,3.1e-05,3.1e-05
194,3863.37,0.65046,0.36318,1.59801,0.96241,0.95825,0.97428,0.82203,1.54672,0.75273,1.96456,2.79063e-05,2.79063e-05,2.79063e-05
195,3880.74,0.64232,0.34649,1.59388,0.96222,0.95823,0.97529,0.82227,1.54901,0.75237,1.96721,2.48125e-05,2.48125e-05,2.48125e-05
196,3898.54,0.63709,0.34137,1.59389,0.96302,0.95995,0.9755,0.82197,1.55007,0.73618,1.9677,2.17188e-05,2.17188e-05,2.17188e-05
197,3916.18,0.6362,0.37256,1.59006,0.96606,0.95594,0.97575,0.82364,1.54866,0.72819,1.9684,1.8625e-05,1.8625e-05,1.8625e-05
198,3933.62,0.64327,0.35705,1.59656,0.96136,0.9579,0.97509,0.82229,1.55675,0.7377,1.97244,1.55313e-05,1.55313e-05,1.55313e-05
199,3951.21,0.62599,0.32461,1.58802,0.96484,0.94847,0.97479,0.82199,1.5473,0.74749,1.96881,1.24375e-05,1.24375e-05,1.24375e-05
200,3968.87,0.62133,0.33641,1.58562,0.96902,0.95117,0.97505,0.82042,1.55053,0.74723,1.9703,9.34375e-06,9.34375e-06,9.34375e-06
