epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,873.009,1.46878,0.98912,1.8362,0.93446,0.9233,0.96511,0.78967,1.57497,0.89657,1.90635,0.000498156,0.000498156,0.000498156
43,892.735,1.47121,1.02468,1.83832,0.93566,0.92332,0.96601,0.79335,1.54126,0.87314,1.88761,0.000495063,0.000495063,0.000495063
44,911.833,1.43386,0.98112,1.80084,0.92869,0.92545,0.96728,0.78988,1.61172,0.8702,1.92736,0.000491969,0.000491969,0.000491969
45,930.749,1.47986,0.9827,1.85337,0.93279,0.91704,0.96613,0.79018,1.55689,0.86235,1.90205,0.000488875,0.000488875,0.000488875
46,952.966,1.45816,0.99318,1.81531,0.89999,0.92653,0.9627,0.78763,1.57629,0.90074,1.90508,0.000485781,0.000485781,0.000485781
47,972.933,1.44925,0.97032,1.82022,0.92201,0.94614,0.96694,0.79285,1.58656,0.84263,1.91294,0.000482687,0.000482687,0.000482687
48,992.947,1.39962,0.91711,1.80783,0.95319,0.94237,0.97159,0.80237,1.54592,0.7746,1.89372,0.000479594,0.000479594,0.000479594
49,1012.75,1.42365,0.96607,1.81114,0.94034,0.93191,0.97108,0.7972,1.57434,0.81564,1.90141,0.0004765,0.0004765,0.0004765
50,1032.6,1.42038,0.92823,1.80301,0.93812,0.92167,0.96773,0.79866,1.56208,0.8482,1.90181,0.000473406,0.000473406,0.000473406
51,1052.41,1.43924,0.97878,1.8301,0.94744,0.92473,0.96823,0.8001,1.55851,0.80591,1.89999,0.000470312,0.000470312,0.000470312
52,1071.34,1.33098,0.94292,1.79562,0.91968,0.93824,0.97057,0.797,1.60474,0.86528,1.92544,0.000467219,0.000467219,0.000467219
53,1090.66,1.37836,0.92754,1.81112,0.93979,0.95485,0.97184,0.79741,1.62682,0.8277,1.92796,0.000464125,0.000464125,0.000464125
54,1109.98,1.44546,0.9771,1.82163,0.95567,0.91798,0.96807,0.79772,1.5974,0.84506,1.91738,0.000461031,0.000461031,0.000461031
55,1128.97,1.39243,0.92951,1.80143,0.9147,0.93438,0.96311,0.80073,1.57841,0.90898,1.90825,0.000457938,0.000457938,0.000457938
56,1148.74,1.4296,0.95948,1.7988,0.94439,0.9232,0.96824,0.80125,1.55289,0.8669,1.89282,0.000454844,0.000454844,0.000454844
57,1168.55,1.37855,0.90266,1.80087,0.93336,0.93238,0.9755,0.80251,1.60081,0.81164,1.91785,0.00045175,0.00045175,0.00045175
58,1187.65,1.36192,0.9579,1.78482,0.92204,0.95242,0.96971,0.802,1.55703,0.83765,1.89696,0.000448656,0.000448656,0.000448656
59,1209.97,1.36133,0.87865,1.80546,0.94871,0.92669,0.9696,0.80401,1.54846,0.80178,1.90096,0.000445562,0.000445562,0.000445562
60,1229.28,1.39987,0.9046,1.80647,0.95571,0.93003,0.97166,0.79734,1.63273,0.80474,1.92934,0.000442469,0.000442469,0.000442469
61,1248.5,1.39427,0.85138,1.80307,0.92367,0.92733,0.96916,0.80281,1.56788,0.84388,1.90158,0.000439375,0.000439375,0.000439375
62,1268.01,1.37685,0.8802,1.81624,0.93618,0.93966,0.96915,0.80093,1.5406,0.79171,1.89272,0.000436281,0.000436281,0.000436281
63,1287.09,1.40454,0.92763,1.79837,0.94741,0.95593,0.97468,0.8042,1.57262,0.74405,1.90276,0.000433187,0.000433187,0.000433187
64,1306.64,1.34669,0.9176,1.76549,0.94712,0.94082,0.96596,0.79478,1.58767,0.83049,1.92104,0.000430094,0.000430094,0.000430094
65,1327.78,1.34247,0.89349,1.79777,0.94741,0.92224,0.97212,0.79312,1.59968,0.90625,1.91212,0.000427,0.000427,0.000427
66,1347.5,1.3133,0.84591,1.76378,0.94953,0.95037,0.97375,0.8062,1.56174,0.78,1.90093,0.000423906,0.000423906,0.000423906
67,1367.53,1.35311,0.89553,1.79581,0.94975,0.93768,0.97101,0.8011,1.57937,0.77777,1.91119,0.000420812,0.000420812,0.000420812
68,1388.32,1.29854,0.82907,1.76888,0.93346,0.94238,0.96724,0.80217,1.5378,0.84121,1.89559,0.000417719,0.000417719,0.000417719
69,1409.25,1.34317,0.83209,1.78528,0.93888,0.95013,0.97087,0.79854,1.58579,0.83001,1.91113,0.000414625,0.000414625,0.000414625
70,1428.82,1.29666,0.836,1.77131,0.96063,0.94059,0.9703,0.79641,1.60508,0.79166,1.9172,0.000411531,0.000411531,0.000411531
71,1448.51,1.31424,0.84287,1.76368,0.95093,0.94398,0.97564,0.81132,1.55462,0.76846,1.90221,0.000408438,0.000408438,0.000408438
72,1467.69,1.28611,0.83762,1.77515,0.93893,0.94469,0.97611,0.80454,1.59582,0.79753,1.92084,0.000405344,0.000405344,0.000405344
73,1487.15,1.27507,0.86305,1.77676,0.94735,0.9356,0.97044,0.79324,1.61142,0.81518,1.93122,0.00040225,0.00040225,0.00040225
74,1508.92,1.29939,0.83608,1.76811,0.90952,0.95474,0.96961,0.79674,1.58117,0.81144,1.91585,0.000399156,0.000399156,0.000399156
75,1533.92,1.27896,0.83921,1.76332,0.94964,0.95286,0.9722,0.80504,1.57898,0.78864,1.91527,0.000396063,0.000396063,0.000396063
76,1555.57,1.27137,0.80414,1.75081,0.95742,0.93424,0.97029,0.8005,1.56686,0.83617,1.90937,0.000392969,0.000392969,0.000392969
77,1577.16,1.26204,0.78295,1.76636,0.94718,0.94848,0.97486,0.81402,1.57995,0.7702,1.91031,0.000389875,0.000389875,0.000389875
78,1599.25,1.2587,0.80896,1.76312,0.94832,0.9559,0.97458,0.80779,1.58659,0.76318,1.91344,0.000386781,0.000386781,0.000386781
79,1622.35,1.23648,0.80983,1.75505,0.93744,0.94905,0.96935,0.79925,1.57828,0.8088,1.92369,0.000383688,0.000383688,0.000383688
80,1641.12,1.24879,0.77825,1.7504,0.92664,0.95781,0.97802,0.80564,1.61467,0.76828,1.93946,0.000380594,0.000380594,0.000380594
81,1659.75,1.30295,0.81632,1.76456,0.95855,0.94802,0.97564,0.80072,1.63749,0.77162,1.93941,0.0003775,0.0003775,0.0003775
82,1679.57,1.24553,0.82194,1.75901,0.94785,0.93935,0.96673,0.79745,1.58353,0.84797,1.91983,0.000374406,0.000374406,0.000374406
83,1699.59,1.20174,0.76863,1.73835,0.94422,0.93627,0.96469,0.79504,1.60004,0.8711,1.93745,0.000371313,0.000371313,0.000371313
84,1720.85,1.27922,0.8144,1.76833,0.95254,0.94344,0.97134,0.80741,1.56449,0.7909,1.9138,0.000368219,0.000368219,0.000368219
85,1740.45,1.2262,0.79891,1.74828,0.94693,0.93324,0.97089,0.80125,1.62033,0.81469,1.95174,0.000365125,0.000365125,0.000365125
86,1759.67,1.27585,0.78539,1.76219,0.94376,0.94439,0.97149,0.8076,1.57886,0.8144,1.92189,0.000362031,0.000362031,0.000362031
87,1778.79,1.2258,0.75771,1.74637,0.95282,0.93354,0.96779,0.80359,1.59584,0.81921,1.92432,0.000358938,0.000358938,0.000358938
88,1798.89,1.21366,0.75534,1.73947,0.94679,0.94278,0.9681,0.80583,1.56528,0.80867,1.92393,0.000355844,0.000355844,0.000355844
89,1818.82,1.20138,0.77894,1.7342,0.93092,0.94365,0.97074,0.79814,1.59089,0.85103,1.93122,0.00035275,0.00035275,0.00035275
90,1838.19,1.1805,0.74169,1.73154,0.94478,0.9524,0.97721,0.81443,1.59926,0.78585,1.9261,0.000349656,0.000349656,0.000349656
91,1859.51,1.14861,0.76207,1.73098,0.94306,0.93561,0.96644,0.80002,1.58226,0.82613,1.92558,0.000346563,0.000346563,0.000346563
92,1878.82,1.19742,0.76559,1.75453,0.92537,0.92837,0.96321,0.79458,1.6222,0.92226,1.93272,0.000343469,0.000343469,0.000343469
93,1897.52,1.21732,0.78877,1.74623,0.9328,0.95478,0.9699,0.79706,1.65548,0.81758,1.96246,0.000340375,0.000340375,0.000340375
94,1916.35,1.17921,0.74607,1.73064,0.95349,0.95185,0.9792,0.80931,1.60265,0.77633,1.93157,0.000337281,0.000337281,0.000337281
95,1935.12,1.18804,0.75694,1.74986,0.96879,0.93514,0.97546,0.81679,1.54273,0.79006,1.89753,0.000334188,0.000334188,0.000334188
96,1954.09,1.1551,0.72215,1.73185,0.95561,0.94373,0.97507,0.81187,1.58276,0.77534,1.91408,0.000331094,0.000331094,0.000331094
97,1972.85,1.16231,0.73204,1.73984,0.95294,0.92549,0.96881,0.80317,1.59353,0.83223,1.93834,0.000328,0.000328,0.000328
98,1991.9,1.12577,0.7355,1.72502,0.95525,0.94242,0.9692,0.80376,1.58468,0.78283,1.92812,0.000324906,0.000324906,0.000324906
99,2010.87,1.17789,0.73085,1.73999,0.94804,0.91198,0.96511,0.79756,1.60092,0.84546,1.94765,0.000321812,0.000321812,0.000321812
100,2029.92,1.1377,0.74741,1.71261,0.94121,0.9513,0.9711,0.80343,1.58686,0.79017,1.91417,0.000318719,0.000318719,0.000318719
101,2048.79,1.12462,0.72032,1.72372,0.93673,0.95041,0.97226,0.80478,1.59347,0.79513,1.93652,0.000315625,0.000315625,0.000315625
102,2067.85,1.14961,0.7247,1.73491,0.94069,0.94266,0.96827,0.80317,1.59156,0.84387,1.9324,0.000312531,0.000312531,0.000312531
103,2086.87,1.14494,0.74134,1.71891,0.94656,0.95931,0.96993,0.8066,1.57629,0.85505,1.93037,0.000309437,0.000309437,0.000309437
104,2106.08,1.12406,0.71085,1.71804,0.95197,0.95505,0.97551,0.80671,1.62085,0.77365,1.9424,0.000306344,0.000306344,0.000306344
105,2125.07,1.1343,0.712,1.72317,0.95668,0.94286,0.97779,0.80997,1.59332,0.80839,1.93135,0.00030325,0.00030325,0.00030325
106,2144.02,1.10126,0.72346,1.72534,0.94453,0.95423,0.98022,0.81651,1.60169,0.75392,1.93739,0.000300156,0.000300156,0.000300156
107,2163,1.11316,0.71102,1.72565,0.95766,0.95274,0.97837,0.81086,1.573,0.76579,1.93251,0.000297063,0.000297063,0.000297063
108,2181.94,1.13829,0.70652,1.71651,0.95506,0.94626,0.97467,0.80668,1.65749,0.80691,1.95781,0.000293969,0.000293969,0.000293969
109,2200.82,1.09779,0.71319,1.71526,0.94796,0.96412,0.97559,0.81599,1.57131,0.72801,1.92876,0.000290875,0.000290875,0.000290875
110,2220.04,1.09966,0.69193,1.71337,0.96046,0.95139,0.97513,0.81775,1.57003,0.78034,1.9167,0.000287781,0.000287781,0.000287781
111,2239.23,1.12984,0.68049,1.7199,0.96606,0.94271,0.97603,0.81412,1.58055,0.74524,1.92902,0.000284688,0.000284688,0.000284688
112,2258.37,1.11748,0.70122,1.71392,0.95334,0.96159,0.97493,0.80883,1.59202,0.78707,1.93786,0.000281594,0.000281594,0.000281594
113,2277.32,1.10411,0.71435,1.72881,0.95691,0.94587,0.97102,0.80771,1.57747,0.77189,1.92445,0.0002785,0.0002785,0.0002785
114,2296.34,1.07867,0.70787,1.71188,0.95935,0.95268,0.97177,0.80636,1.59299,0.80459,1.93678,0.000275406,0.000275406,0.000275406
115,2315.52,1.05602,0.69498,1.70263,0.94704,0.94556,0.96491,0.80411,1.57888,0.85815,1.92726,0.000272313,0.000272313,0.000272313
116,2334.5,1.06162,0.68906,1.70088,0.95042,0.95406,0.96668,0.8045,1.57413,0.80031,1.92947,0.000269219,0.000269219,0.000269219
117,2353.47,1.06228,0.69888,1.71218,0.94729,0.95049,0.96421,0.80023,1.63025,0.81293,1.95769,0.000266125,0.000266125,0.000266125
118,2372.39,1.05893,0.65526,1.70724,0.94776,0.94318,0.97053,0.80837,1.55489,0.79983,1.92456,0.000263031,0.000263031,0.000263031
119,2391.22,1.04013,0.66561,1.703,0.94678,0.95254,0.97135,0.8096,1.5667,0.79977,1.93436,0.000259938,0.000259938,0.000259938
120,2409.92,1.04177,0.65615,1.69803,0.94181,0.95004,0.97353,0.80744,1.56797,0.79339,1.93511,0.000256844,0.000256844,0.000256844
121,2428.89,1.01848,0.66407,1.69673,0.95008,0.95787,0.97308,0.81041,1.55235,0.75242,1.93408,0.00025375,0.00025375,0.00025375
